id,nom,festa1,festa2
427,Castellnou d'Ossó,,
1341,Castellnou de Bages,2025-04-17,2025-08-18
609,Castellnou de Bassella,2025-04-29,2025-10-13
635,Castellnou de Carcolze,2025-01-22,2025-06-19
822,Castellnou de Seana,2025-02-07,2025-09-08
1387,Castellolí,2025-04-22,2025-08-25
418,Castellserà,2025-01-20,2025-07-18
1367,Castelltallat,2025-06-09,2025-09-29
1109,Castellterçol,2025-01-21,2025-03-04
901,Castellvell del Camp,2025-01-22,2025-07-26
1068,Castellví de Rosanes,2025-05-26,2025-09-29
1283,Castellví de la Marca,2025-04-17,2025-08-18
15,Castelló d'Empúries,2025-02-03,2025-08-11
561,Castelló de Farfanya,2025-06-09,2025-10-31
837,"Catllar, el",2025-08-22,2025-12-12
616,Cava,2025-10-25,2025-11-28
282,"Cellera de Ter, la",2025-04-28,2025-06-23
720,Cellers,2025-03-19,2025-08-29
211,Celrà,2025-05-05,2025-10-29
1209,Centelles,2025-09-01,2025-12-31
1426,Cercs,2025-04-23,2025-06-19
1155,Cerdanyola del Vallès,2025-05-05,2025-11-11
1069,Cervelló,2025-06-09,2025-09-19
447,Cervera,2025-02-06,2025-09-29
212,Cervià de Ter,2025-01-20,2025-10-29
392,Cervià de les Garrigues,2025-05-15,2025-09-29
947,"Cirera, la",2025-04-25,2025-08-14
16,Cistella,2025-04-30,2025-06-30
419,Ciutadilla,2025-05-05,2025-09-29
505,Civit,2025-05-02,2025-05-05
658,Civís,2025-07-05,2025-10-25
5117,Claravalls,2025-08-01,2025-08-06
1276,Clariana,2025-04-17,2025-07-28
304,Clariana de Cardener,2025-02-05,2025-05-02
729,Claverol,2025-02-07,2025-08-28
610,"Clua, la",2025-01-20,2025-10-07
1368,Coaner,2025-06-09,2025-09-15
393,"Cogul, el",2025-01-20,2025-05-02
18,Colera,2025-05-08,2025-09-29
619,Coll de Nargó,2025-07-25,2025-11-21
1070,Collbató,2025-06-09,2025-09-16
904,Colldejou,2025-08-11,2025-10-24
721,Collmorter,2025-03-19,2025-05-08
1210,Collsuspina,2025-05-02,2025-08-04
94,Colomers,2025-01-21,2025-09-09
1092,"Colònia Güell, la",,
308,"Coma i la Pedra, la",2025-04-25,2025-06-09
497,Comabella,2025-05-10,2025-05-12
477,Concabella,2025-05-16,2025-08-23
943,Conesa,2025-05-20,2025-11-17
750,Conques,2025-03-19,2025-09-13
838,Constantí,2025-01-20,2025-08-01
1388,Copons,2025-04-22,2025-08-16
1052,Corbera d'Ebre,2025-08-18,2025-08-19
1071,Corbera de Llobregat,2025-01-17,2025-07-22
356,Corbins,2025-05-22,2025-05-23
666,Cornellana,2025-06-27,2025-06-28
1072,Cornellà de Llobregat,2025-06-09,2025-06-20
234,Cornellà de Terri,2025-06-30,2025-10-20
977,Cornudella de Montsant,2025-07-10,2025-08-25
1114,Corró d'Amunt,2025-05-30,2025-07-12
1115,Corró d'Avall,2025-05-30,2025-09-19
5092,Cortscastell,2025-01-20,2025-08-01
537,Corçà,2025-05-02,2025-08-09
95,Corçà,2025-06-09,2025-10-06
574,Coscó,,
839,Creixell,2025-05-02,2025-07-25
10,Creixell,,
235,Crespià,2025-02-24,2025-12-09
97,Cruïlles,2025-06-09,2025-10-31
1325,Cubelles,2025-07-30,2025-08-16
562,Cubells,,
5127,Cuberes,2025-01-20,2025-08-01
934,Cunit,2025-01-20,2025-07-14
458,"Curullada, la",2025-01-23,2025-09-13
1105,Cànoves,2025-01-20,2025-06-06
1104,Cànoves i Samalús,,
807,Cóll,2025-08-16,2025-09-08
1030,Darmós,2025-02-03,2025-08-18
19,Darnius,2025-05-02,2025-08-18
149,Das,2025-05-02,2025-09-12
1005,Deltebre,2025-05-23,2025-09-12
1548,"Destres, les",2025-08-14,2025-12-15
411,Donzell d'Urgell,2025-08-14,2025-08-16
180,Dosquers,2025-05-19,2025-07-25
1184,Dosrius,2025-06-09,2025-08-29
905,Duesaigües,2025-06-09,2025-09-26
808,Durro,2025-06-16,2025-09-08
270,Dòrria,2025-07-11,2025-10-13
5089,Enseu,2025-01-20,2025-08-01
809,Erill la Vall,2025-02-12,2025-07-10
730,Erinyà,2025-05-15,2025-12-27
27,Ermedàs,2025-06-30,2025-09-26
20,"Escala, l'",2025-07-16,2025-09-02
989,Escaladei,2025-06-23,2025-09-24
696,Escaló,2025-02-04,2025-08-18
1463,Escart,2025-02-04,2025-12-09
8,"Escaules, les",2025-11-11,2025-11-22
795,Escunhau,2025-06-03,2025-10-08
791,"Esglésies, les",2025-05-15,2025-08-01
1073,Esparreguera,2025-02-12,2025-07-14
1455,Espinalbet,,
257,Espinavell,2025-08-05,2025-10-13
1211,Espinelves,2025-01-22,2025-07-25
394,"Espluga Calba, l'",,
944,"Espluga de Francolí, l'",2025-07-25,2025-07-28
1074,Esplugues de Llobregat,,
21,Espolla,2025-01-20,2025-07-25
236,Esponellà,2025-02-03,2025-10-20
689,Espot,2025-09-22,2025-12-09
1508,"Espunyola, l'",2025-06-19,2025-08-11
1277,"Esquirol, l'",2025-04-17,2025-06-09
1551,Estais,,
620,Estamariu,2025-01-22,2025-11-22
1342,"Estany, l'",2025-09-08,2025-09-09
713,Estaon,2025-05-15,2025-07-25
135,"Estartit, l'",2025-07-26,2025-12-13
453,Estaràs,2025-01-09,2025-08-25
690,Esterri d'Àneu,2025-01-22,2025-03-04
691,Esterri de Cardós,2025-03-04,2025-08-14
243,Falgons,2025-01-22,2025-09-18
1344,Fals,2025-02-21,2025-08-25
979,Falset,2025-06-09,2025-08-18
22,"Far d'Empordà, el",2025-05-02,2025-11-11
512,"Far, el",2025-01-08,2025-08-23
877,Farena,2025-08-22,2025-08-29
659,"Farga de Moles, la",2025-03-14,2025-09-08
692,Farrera,2025-03-04,2025-08-14
1053,"Fatarella, la",2025-02-03,2025-09-08
906,"Febró, la",2025-08-22,2025-08-25
454,Ferran,2025-06-09,2025-12-19
1110,Figaró-Montmany,2025-04-28,2025-09-01
980,"Figuera, la",2025-01-15,2025-11-11
23,Figueres,2025-05-03,2025-06-30
